0: [ 51.  101.1]
1137: [ 19. 277.]
1138: [450.   93.9]
1139: [268.  287.5]
1140: [207.  239.4]
1141: [ 70.  194.1]
1142: [ 58.  441.1]
1143: [195.  320.4]
1144: [174.   37.3]
1145: [508. 469.]
1146: [387.    1.8]
1147: [318.  257.6]
1148: [438.  425.9]
1149: [456.   41.9]
1150: [ 9. 25.]
1151: [423.  134.8]
1152: [478.  494.9]
1153: [504. 438.]
1154: [129.   42.3]
1155: [168.  154.3]
1156: [ 41.  468.1]
1157: [149.  326.3]
1158: [31.  51.1]
1159: [213.  136.4]
1160: [184.  505.4]
1161: [222.  286.4]
1162: [348.  162.7]
1163: [502. 206.]
1164: [408.  152.8]
1165: [199.  486.4]
1166: [  5. 321.]
1167: [460.  284.9]
1168: [224.  367.4]
1169: [464.  308.9]
1170: [212.  351.4]
1171: [472.  224.9]
1172: [439.  472.9]
1173: [360.  265.7]
1174: [208.  405.4]
1175: [315.   40.6]
1176: [478.  438.9]
1177: [460.   96.9]
1178: [335.  153.7]
1179: [297.  184.6]
1180: [263.  302.5]
1181: [501. 357.]
1182: [479.  342.9]
1183: [189.  436.4]
1184: [222.  356.4]
1185: [400.  190.8]
1186: [507. 347.]
1187: [267.  401.5]
1188: [239.  458.5]
1189: [ 14. 370.]
1190: [494. 510.]
1191: [380.  192.7]
1192: [235.  498.5]
1193: [ 15. 384.]
1194: [511.  16.]
1195: [ 31.  477.1]
1196: [294.  152.6]
1197: [443.   67.9]
1198: [370.  208.7]
1199: [32.   7.1]
1200: [494. 444.]
1201: [489. 102.]
1202: [486.    4.9]
1203: [142.   22.3]
1204: [493. 450.]
1205: [198.  180.4]
1206: [ 58.  202.1]
1207: [134.  497.3]
1208: [485.   15.9]
1209: [408.  119.8]
1210: [351.  217.7]
1211: [201.  328.4]
1212: [118.  502.2]
1213: [123.   65.2]
1214: [501. 452.]
1215: [333.  232.7]
1216: [474.   97.9]
1217: [487.  85.]
1218: [444.  187.9]
1219: [ 33.  324.1]
1220: [510. 139.]
1221: [379.  117.7]
1222: [435.  492.8]
1223: [322.  192.6]
1224: [237.   48.5]
1225: [482.  270.9]
1226: [ 19. 327.]
1227: [217.  144.4]
1228: [184.  421.4]
1229: [343.  241.7]
1230: [474.   12.9]
1231: [401.  177.8]
1232: [488. 301.]
1233: [350.  261.7]
1234: [492. 288.]
1235: [447.  106.9]
1236: [ 38.  431.1]
1237: [ 64.  443.1]
1238: [207.  140.4]
1239: [111.    1.2]
